Historical ROI:	6.21%	Date range:	2002-01-04	2020-02-28

N	10	11	12	13	14	15
data_point	1109	993	849	947	964	574
avg	0.0621	0.0679	0.0728	0.0902	0.0861	0.0776
p50	0.0637	0.0705	0.0884	0.0883	0.0835	0.0755
min	-0.0397	-0.0553	-0.0333	0.0306	0.0562	0.0584
max	0.2011	0.1529	0.1393	0.1255	0.1168	0.1029
over_0	0.8819	0.8741	0.8693	1.0	1.0	1.0
over_2	0.7782	0.8369	0.8516	1.0	1.0	1.0
over_4	0.6889	0.7925	0.7845	0.9863	1.0	1.0
over_6	0.5293	0.6193	0.6596	0.963	0.9824	0.9895
over_8	0.3075	0.433	0.5595	0.7233	0.6473	0.3798
over_10	0.1794	0.3162	0.3581	0.3273	0.2303	0.0157
