Historical ROI:	6.54%	Date range:	2004-01-02	2020-02-28

N	10	11	12	13	14	15
data_point	838	719	581	584	504	208
avg	0.0456	0.056	0.0577	0.0821	0.0851	0.0764
p50	0.0425	0.0782	0.0735	0.0858	0.0802	0.0799
min	-0.0541	-0.0586	-0.0367	0.0196	0.0645	0.0495
max	0.1657	0.1253	0.1208	0.1097	0.1055	0.093
over_0	0.815	0.7969	0.8021	1.0	1.0	1.0
over_2	0.6862	0.7622	0.7418	0.9983	1.0	1.0
over_4	0.5191	0.6843	0.7074	0.9589	1.0	1.0
over_6	0.3604	0.6245	0.6248	0.8853	1.0	0.9135
over_8	0.2399	0.4715	0.4062	0.6678	0.506	0.4952
over_10	0.1718	0.128	0.2065	0.089	0.1389	1.0
