Historical ROI:	12.2%	Date range:	1990-12-19	2020-02-28

N	15	17	19	21	23	25	27	29
data_point	2623	1685	1429	1898	875	599	419	38
avg	0.0722	0.0687	0.0675	0.0698	0.0754	0.076	0.0842	0.1144
p50	0.054	0.0585	0.0561	0.066	0.0673	0.0637	0.0814	0.1143
min	0.0102	0.0134	0.0154	0.0147	0.028	0.0289	0.0233	0.1111
max	0.199	0.2505	0.2021	0.1607	0.1438	0.1511	0.138	0.1233
over_0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
over_2	0.979	0.984	0.9685	0.9942	1.0	1.0	1.0	1.0
over_4	0.7754	0.7139	0.7971	0.8214	0.9669	0.9432	0.8473	1.0
over_6	0.4339	0.4831	0.4262	0.5574	0.6606	0.576	0.6874	1.0
over_8	0.342	0.2475	0.2288	0.313	0.2869	0.3656	0.5656	1.0
over_10	0.2421	0.1424	0.1721	0.1707	0.216	0.2487	0.3723	1.0
